,Unnamed: 0,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,delivery,has_variations,Sales_per_last_month
241,241,Moto E | Unlocked | Made for US by Motorola | 2/32GB | 13MP Camera | 2020 | Blue,107.99,USD,4.4,16748,4,61.03,False,False,True,False,"FREE delivery Thu, Sep 26",True,0.0
242,242,"Landline Phone, Big Button Phone for Seniors, Telephone Can One-Touch Dialling with 9 Piction, Suitable for People with Vision Disorders/Hearing Damage, Corded Phone Can Be Used for Home, Office",29.99,USD,4.0,148,2,28.95,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,300.0
243,243,"VTech CD1113 Corded Phone for Home Office - Easy-to-Use Telephone with Caller ID/Call Waiting, 13 Speed Dial Keys, No AC Power Required, Flash, Volume Control, Hearing Aid Compatible,Wall-mount, Black",22.4,USD,4.1,1742,15,14.8,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,100.0
244,244,Moto G stylus | 2020 | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Indigo,149.99,USD,4.4,6645,5,89.95,False,False,True,False,"FREE delivery Fri, Sep 27",True,0.0
245,245,VTech CS6629 Dect 6.0 1-Handset Cordless Answering System,38.58,USD,4.4,2145,24,17.63,False,False,True,False,"FREE delivery Tue, Sep 24",False,100.0
246,246,"Panasonic KX-TS880B Integrated Corded Telephone,Black",55.0,USD,3.9,862,3,16.41,False,False,True,False,"FREE delivery Tue, Sep 24",False,50.0
247,247,"Corded Phone for Home, Durable landline Phone with Large Buttons for Seniors, Versatile Mini Phone for The Home, Office, and More (Black)",13.98,USD,3.6,314,1,13.98,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,200.0
248,248,TCL Flip Pro Slate Gray Basic Flip Phone (Verizon),41.0,USD,3.0,105,6,34.48,False,False,False,False,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25,False,200.0
249,249,"Panasonic Office Phone System, Corded Base Station with 4-Lines Expandable with Up to 10 Compatible Panasonic Business Phones Wirelessly - KX-TGW420B (Black)",146.29,USD,3.8,136,23,61.19,False,False,True,False,"FREE delivery Tue, Sep 24",False,100.0
250,250,"Old Style Wall Phone-Freely Adjust The Volume Landline Phone, Classic Retro Design Landline Phones for Home, Wall Phones for Landline, Suitable for Living Room, School, Home, Office(Black)",9.99,USD,3.4,349,1,9.99,False,False,True,False,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon",False,200.0
